score,marks,performance,student,name,subject,course,date,month,attendance,completion,status,resource,usage,teacher,budget,expenditure,alumni,placement,lab,library,enrollment,dropout
92.15,92,Poor,1,Student 1,Computer Science,M.A,2024-10-04,October,75%,96%,Completed,Labs,Low,Mrs. Das,20555.53,17801.63,387,50%,Not Available,Available,459,35
58.99,58,Good,2,Student 2,Mathematics,B.Tech,2025-03-31,March,65%,93%,Dropped,Quizzes,Medium,Dr. Reddy,28648.96,18222.84,52,53%,Not Available,Not Available,803,37
95.86,95,Poor,3,Student 3,Mathematics,B.A,2025-04-28,April,65%,85%,Dropped,Labs,Low,Mrs. Das,42103.68,32163.46,194,53%,Not Available,Available,770,12
68.9,68,Good,4,Student 4,Physics,M.Tech,2024-08-09,August,93%,87%,Dropped,Assignments,High,Ms. Gupta,32115.52,19373.29,245,90%,Not Available,Available,569,21
95.65,95,Excellent,5,Student 5,Chemistry,B.A,2025-02-10,February,90%,84%,Completed,Assignments,Low,Mrs. Das,37912.77,24534.03,224,65%,Available,Not Available,564,23
53.0,53,Good,6,Student 6,Economics,M.Sc,2024-08-03,August,68%,81%,Dropped,Videos,Medium,Prof. Singh,12114.49,10183.74,386,94%,Not Available,Not Available,249,11
58.37,58,Poor,7,Student 7,Mathematics,MBA,2024-12-29,December,74%,82%,In Progress,Quizzes,High,Mrs. Das,38467.55,23641.57,213,54%,Available,Not Available,711,30
51.33,51,Excellent,8,Student 8,Biology,B.Com,2024-06-08,June,74%,76%,Dropped,Quizzes,High,Prof. Singh,49355.99,40506.21,346,46%,Not Available,Available,906,14
64.05,64,Average,9,Student 9,Physics,M.Sc,2024-10-05,October,72%,86%,Dropped,E-books,Medium,Mrs. Das,13314.12,12713.5,293,55%,Available,Available,636,1
55.07,55,Good,10,Student 10,Computer Science,B.Sc,2025-05-17,May,97%,76%,In Progress,E-books,Medium,Mr. Sharma,37201.2,35096.87,259,44%,Available,Not Available,994,36
